group_id,address_line_1,address_line_2,address_line_3
1,INT_PAY_AGT_ADDR_1,INT_PAY_AGT_ADDR_2,INT_PAY_AGT_ADDR_3
2,INT_PAY_AGT_AGT_ADDR_1,INT_PAY_AGT_AGT_ADDR_2,INT_PAY_AGT_AGT_ADDR_3
3,INT_PAY_BNF_ADDR_LINE_1,INT_PAY_BNF_ADDR_LINE_2,INT_PAY_BNF_ADDR_LINE_3
4,INT_PAY_ORDR_ADDR_LINE_1,INT_PAY_ORDR_ADDR_LINE_2,INT_PAY_ORDR_ADDR_LINE_3
5,INT_RCV_AGT_AGT_ADDR_1,INT_RCV_AGT_AGT_ADDR_2,INT_RCV_AGT_AGT_ADDR_3
6,INT_RCV_DEBTOR_ADDR_1,INT_RCV_DEBTOR_ADDR_2,INT_RCV_DEBTOR_ADDR_3
7,INT_RCV_PAY_AGT_ADDR_1,INT_RCV_PAY_AGT_ADDR_2,INT_RCV_PAY_AGT_ADDR_3
8,INT_SNDR_CORR_ADDR_LINE_1,INT_SNDR_CORR_ADDR_LINE_2,INT_SNDR_CORR_ADDR_LINE_3
9,PRI_PAY_AGT_ADDR_1,PRI_PAY_AGT_ADDR_2,PRI_PAY_AGT_ADDR_3
10,PRI_PAY_AGT_AGT_ADDR_1,PRI_PAY_AGT_AGT_ADDR_2,PRI_PAY_AGT_AGT_ADDR_3
11,PRI_PAY_ORDR_ADDR_LINE_1,PRI_PAY_ORDR_ADDR_LINE_2,PRI_PAY_ORDR_ADDR_LINE_3
12,PRI_RCV_AGT_AGT_ADDR_1,PRI_RCV_AGT_AGT_ADDR_2,PRI_RCV_AGT_AGT_ADDR_3
13,PRI_RCV_DEBTOR_ADDR_1,PRI_RCV_DEBTOR_ADDR_2,PRI_RCV_DEBTOR_ADDR_3
14,PRI_RCV_PAY_AGT_ADDR_1,PRI_RCV_PAY_AGT_ADDR_2,PRI_RCV_PAY_AGT_ADDR_3
15,PRI_PAY_BNF_ADDR_LINE_1,PRI_PAY_BNF_ADDR_LINE_2,PRI_PAY_BNF_ADDR_LINE_3
16,PRI_SNDR_CORR_ADDR_LINE_1,PRI_SNDR_CORR_ADDR_LINE_2,PRI_SNDR_CORR_ADDR_LINE_3
